"SampleID"	"Range"	"Haplogroup"	"Rank"	"Quality"
"HG01104"	"1-16569"	"A2k1a"	"1"	"0.9708"
"HG01105"	"1-16569"	"A2k"	"1"	"0.9339"
"HG01107"	"1-16569"	"A2k1a"	"1"	"1.0000"
"HG01108"	"1-16569"	"L0a1a+200"	"1"	"0.9921"
"HG01110"	"1-16569"	"A2k1a"	"1"	"1.0000"
"HG01111"	"1-16569"	"J1b1a1"	"1"	"0.9773"
"HG01112"	"1-16569"	"A2ac1"	"1"	"0.9704"
"HG01113"	"1-16569"	"A2w"	"1"	"1.0000"
"HG01119"	"1-16569"	"A2w"	"1"	"1.0000"
"HG01121"	"1-16569"	"A2+(64)"	"1"	"0.8708"
"HG01122"	"1-16569"	"A2+(64)+@16111"	"1"	"1.0000"
"HG01124"	"1-16569"	"D4h3a6"	"1"	"0.9423"
"HG01125"	"1-16569"	"A2w"	"1"	"1.0000"
"HG01130"	"1-16569"	"B2d"	"1"	"0.9939"
"HG01131"	"1-16569"	"B2d"	"1"	"0.9658"
"HG01133"	"1-16569"	"B2d"	"1"	"0.9737"
"HG01134"	"1-16569"	"A2q"	"1"	"0.9421"
"HG01136"	"1-16569"	"B2d"	"1"	"1.0000"
"HG01137"	"1-16569"	"B2d"	"1"	"0.9932"
"HG01139"	"1-16569"	"A2w"	"1"	"0.9810"
"HG01140"	"1-16569"	"B2d"	"1"	"0.9793"
"HG01142"	"1-16569"	"B2d"	"1"	"0.9446"
"HG01148"	"1-16569"	"B2d"	"1"	"1.0000"
"HG01149"	"1-16569"	"B2d"	"1"	"0.9793"
"HG01161"	"1-16569"	"B2b3a"	"1"	"0.9535"
"HG01162"	"1-16569"	"A2am"	"1"	"1.0000"
"HG01164"	"1-16569"	"B2b3a"	"1"	"0.9535"
"HG01167"	"1-16569"	"H1b"	"1"	"0.9543"
"HG01168"	"1-16569"	"U4b1b1"	"1"	"0.9774"
"HG01170"	"1-16569"	"L3e1e2"	"1"	"1.0000"
"HG01171"	"1-16569"	"A2"	"1"	"0.9312"
"HG01173"	"1-16569"	"H13a1b"	"1"	"0.9845"
"HG01174"	"1-16569"	"A2"	"1"	"0.9603"
"HG01176"	"1-16569"	"L1b1a3"	"1"	"0.9898"
"HG01177"	"1-16569"	"A2k1a"	"1"	"0.9859"
"HG01182"	"1-16569"	"A2am"	"1"	"1.0000"
"HG01183"	"1-16569"	"A2am"	"1"	"1.0000"
"HG01187"	"1-16569"	"A2"	"1"	"0.9727"
"HG01188"	"1-16569"	"L2b1a3"	"1"	"0.9901"
"HG01190"	"1-16569"	"C1b2"	"1"	"0.9921"
"HG01191"	"1-16569"	"B2b3a"	"1"	"0.9535"
"HG01197"	"1-16569"	"U5b2b3a"	"1"	"0.9688"
"HG01198"	"1-16569"	"B2b3a"	"1"	"0.9396"
"HG01200"	"1-16569"	"A2z"	"1"	"1.0000"
"HG01204"	"1-16569"	"C1b2"	"1"	"0.9896"
"HG01205"	"1-16569"	"L3b1a+@16124"	"1"	"0.9792"
"HG01241"	"1-16569"	"L2c"	"1"	"0.9905"
"HG01242"	"1-16569"	"L1b2a"	"1"	"0.9912"
"HG01247"	"1-16569"	"L3d4"	"1"	"0.9110"
"HG01248"	"1-16569"	"C"	"1"	"0.9290"
"HG01250"	"1-16569"	"A2q"	"1"	"0.9421"
"HG01251"	"1-16569"	"A2ac1"	"1"	"0.9704"
"HG01253"	"1-16569"	"B2d"	"1"	"1.0000"
"HG01254"	"1-16569"	"B2d"	"1"	"0.9763"
"HG01256"	"1-16569"	"A2w1"	"1"	"0.8967"
"HG01257"	"1-16569"	"B2d"	"1"	"1.0000"
"HG01259"	"1-16569"	"A2q"	"1"	"0.9421"
"HG01260"	"1-16569"	"L0a1b1a"	"1"	"0.9971"
"HG01269"	"1-16569"	"B2d"	"1"	"0.9939"
"HG01271"	"1-16569"	"A2w"	"1"	"0.9685"
